Id,Date,Time,TotalIntensity,AverageIntensity
1503960366,4/12/2016,00,20,0.333333
1503960366,4/12/2016,01,8,0.133333
1503960366,4/12/2016,02,7,0.116667
1503960366,4/12/2016,03,0,0
1503960366,4/12/2016,04,0,0
1503960366,4/12/2016,05,0,0
1503960366,4/12/2016,06,0,0
1503960366,4/12/2016,07,0,0
1503960366,4/12/2016,08,13,0.216667
1503960366,4/12/2016,09,30,0.5
1503960366,4/12/2016,10,29,0.483333
1503960366,4/12/2016,11,12,0.2
1503960366,4/12/2016,12,11,0.183333
1503960366,4/12/2016,13,6,0.1
1503960366,4/12/2016,14,36,0.6
1503960366,4/12/2016,15,58,0.966667
1503960366,4/12/2016,16,13,0.216667
1503960366,4/12/2016,17,16,0.266667
1503960366,4/12/2016,18,29,0.483333
1503960366,4/12/2016,19,39,0.65
1503960366,4/12/2016,20,41,0.683333
1503960366,4/12/2016,21,31,0.516667
1503960366,4/12/2016,22,9,0.15
1503960366,4/12/2016,23,21,0.35
1503960366,4/13/2016,00,14,0.233333
1503960366,4/13/2016,01,0,0
1503960366,4/13/2016,02,0,0
1503960366,4/13/2016,03,4,0.066667
1503960366,4/13/2016,04,0,0
1503960366,4/13/2016,05,0,0
1503960366,4/13/2016,06,0,0
1503960366,4/13/2016,07,8,0.133333
1503960366,4/13/2016,08,12,0.2
1503960366,4/13/2016,09,27,0.45
1503960366,4/13/2016,10,15,0.25
1503960366,4/13/2016,11,16,0.266667
1503960366,4/13/2016,12,15,0.25
1503960366,4/13/2016,13,10,0.166667
1503960366,4/13/2016,14,46,0.766667
1503960366,4/13/2016,15,13,0.216667
1503960366,4/13/2016,16,10,0.166667
1503960366,4/13/2016,17,23,0.383333
1503960366,4/13/2016,18,25,0.416667
1503960366,4/13/2016,19,13,0.216667
1503960366,4/13/2016,20,0,0
1503960366,4/13/2016,21,0,0
1503960366,4/13/2016,22,11,0.183333
1503960366,4/13/2016,23,56,0.933333
1503960366,4/14/2016,00,4,0.066667
1503960366,4/14/2016,01,3,0.05
1503960366,4/14/2016,02,0,0
1503960366,4/14/2016,03,0,0
1503960366,4/14/2016,04,0,0
1503960366,4/14/2016,05,0,0
1503960366,4/14/2016,06,0,0
1503960366,4/14/2016,07,0,0
1503960366,4/14/2016,08,0,0
1503960366,4/14/2016,09,14,0.233333
1503960366,4/14/2016,10,23,0.383333
1503960366,4/14/2016,11,7,0.116667
1503960366,4/14/2016,12,18,0.3
1503960366,4/14/2016,13,54,0.9
1503960366,4/14/2016,14,22,0.366667
1503960366,4/14/2016,15,7,0.116667
1503960366,4/14/2016,16,25,0.416667
1503960366,4/14/2016,17,5,0.083333
1503960366,4/14/2016,18,12,0.2
1503960366,4/14/2016,19,1,0.016667
1503960366,4/14/2016,20,24,0.4
1503960366,4/14/2016,21,57,0.95
1503960366,4/14/2016,22,17,0.283333
1503960366,4/14/2016,23,0,0
1503960366,4/15/2016,00,6,0.1
1503960366,4/15/2016,01,5,0.083333
1503960366,4/15/2016,02,7,0.116667
1503960366,4/15/2016,03,0,0
1503960366,4/15/2016,04,0,0
1503960366,4/15/2016,05,1,0.016667
1503960366,4/15/2016,06,0,0
1503960366,4/15/2016,07,1,0.016667
1503960366,4/15/2016,08,5,0.083333
1503960366,4/15/2016,09,2,0.033333
1503960366,4/15/2016,10,8,0.133333
1503960366,4/15/2016,11,23,0.383333
1503960366,4/15/2016,12,13,0.216667
1503960366,4/15/2016,13,9,0.15
1503960366,4/15/2016,14,0,0
1503960366,4/15/2016,15,0,0
1503960366,4/15/2016,16,0,0
1503960366,4/15/2016,17,47,0.783333
1503960366,4/15/2016,18,22,0.366667
1503960366,4/15/2016,19,32,0.533333
1503960366,4/15/2016,20,8,0.133333
1503960366,4/15/2016,21,14,0.233333
1503960366,4/15/2016,22,66,1.1
1503960366,4/15/2016,23,95,1.583333
1503960366,4/16/2016,00,15,0.25
1503960366,4/16/2016,01,0,0
1503960366,4/16/2016,02,3,0.05
1503960366,4/16/2016,03,1,0.016667
1503960366,4/16/2016,04,1,0.016667
1503960366,4/16/2016,05,1,0.016667
1503960366,4/16/2016,06,0,0
1503960366,4/16/2016,07,4,0.066667
1503960366,4/16/2016,08,9,0.15
1503960366,4/16/2016,09,38,0.633333
1503960366,4/16/2016,10,14,0.233333
1503960366,4/16/2016,11,30,0.5
1503960366,4/16/2016,12,42,0.7
1503960366,4/16/2016,13,90,1.5
1503960366,4/16/2016,14,20,0.333333
1503960366,4/16/2016,15,0,0
1503960366,4/16/2016,16,2,0.033333
1503960366,4/16/2016,17,17,0.283333
1503960366,4/16/2016,18,10,0.166667
1503960366,4/16/2016,19,12,0.2
1503960366,4/16/2016,20,19,0.316667
1503960366,4/16/2016,21,13,0.216667
1503960366,4/16/2016,22,3,0.05
1503960366,4/16/2016,23,5,0.083333
1503960366,4/17/2016,00,0,0
1503960366,4/17/2016,01,0,0
1503960366,4/17/2016,02,0,0
1503960366,4/17/2016,03,1,0.016667
1503960366,4/17/2016,04,0,0
1503960366,4/17/2016,05,0,0
1503960366,4/17/2016,06,0,0
1503960366,4/17/2016,07,0,0
1503960366,4/17/2016,08,0,0
1503960366,4/17/2016,09,0,0
1503960366,4/17/2016,10,0,0
1503960366,4/17/2016,11,9,0.15
1503960366,4/17/2016,12,18,0.3
1503960366,4/17/2016,13,23,0.383333
1503960366,4/17/2016,14,10,0.166667
1503960366,4/17/2016,15,13,0.216667
1503960366,4/17/2016,16,2,0.033333
1503960366,4/17/2016,17,71,1.183333
1503960366,4/17/2016,18,39,0.65
1503960366,4/17/2016,19,24,0.4
1503960366,4/17/2016,20,87,1.45
1503960366,4/17/2016,21,16,0.266667
1503960366,4/17/2016,22,5,0.083333
1503960366,4/17/2016,23,0,0
1503960366,4/18/2016,00,21,0.35
1503960366,4/18/2016,01,0,0
1503960366,4/18/2016,02,0,0
1503960366,4/18/2016,03,0,0
1503960366,4/18/2016,04,0,0
1503960366,4/18/2016,05,0,0
1503960366,4/18/2016,06,0,0
